Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21500496k free), swap 35582860k(14059528k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:39:36.367+0800: 0.683: [Full GC (Metadata GC Threshold) 2021-01-22T21:39:36.367+0800: 0.683: [Tenured: 0K->14560K(2796224K), 0.0483429 secs] 402672K->14560K(4054528K), [Metaspace: 20502K->20502K(1067008K)], 0.0484515 secs] [Times: user=0.14 sys=0.00, real=0.05 secs] 
2021-01-22T21:39:37.638+0800: 1.954: [Full GC (Metadata GC Threshold) 2021-01-22T21:39:37.638+0800: 1.954: [Tenured: 14560K->34362K(2796224K), 0.0893353 secs] 578306K->34362K(4054528K), [Metaspace: 33951K->33951K(1081344K)], 0.0893809 secs] [Times: user=0.13 sys=0.00, real=0.09 secs] 
2021-01-22T21:39:55.134+0800: 19.451: [GC (Allocation Failure) 2021-01-22T21:39:55.134+0800: 19.451: [DefNew: 1118528K->4742K(1258304K), 0.0057262 secs] 1152890K->39104K(4054528K), 0.0057663 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-01-22T21:39:59.412+0800: 23.729: [GC (Allocation Failure) 2021-01-22T21:39:59.412+0800: 23.729: [DefNew: 1123270K->4042K(1258304K), 0.0042067 secs] 1157632K->38404K(4054528K), 0.0042562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:03.813+0800: 28.130: [GC (Allocation Failure) 2021-01-22T21:40:03.813+0800: 28.130: [DefNew: 1122570K->4035K(1258304K), 0.0031890 secs] 1156932K->38397K(4054528K), 0.0032333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:08.091+0800: 32.407: [GC (Allocation Failure) 2021-01-22T21:40:08.091+0800: 32.407: [DefNew: 1122563K->4027K(1258304K), 0.0029733 secs] 1156925K->38390K(4054528K), 0.0030149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:12.377+0800: 36.693: [GC (Allocation Failure) 2021-01-22T21:40:12.377+0800: 36.693: [DefNew: 1122555K->4050K(1258304K), 0.0030999 secs] 1156918K->38413K(4054528K), 0.0031424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:16.645+0800: 40.962: [GC (Allocation Failure) 2021-01-22T21:40:16.645+0800: 40.962: [DefNew: 1122578K->4037K(1258304K), 0.0031885 secs] 1156941K->38399K(4054528K), 0.0032310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:20.976+0800: 45.292: [GC (Allocation Failure) 2021-01-22T21:40:20.976+0800: 45.292: [DefNew: 1122565K->4031K(1258304K), 0.0029409 secs] 1156927K->38393K(4054528K), 0.0029798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:25.356+0800: 49.672: [GC (Allocation Failure) 2021-01-22T21:40:25.356+0800: 49.672: [DefNew: 1122559K->4041K(1258304K), 0.0033055 secs] 1156921K->38403K(4054528K), 0.0033635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:29.656+0800: 53.973: [GC (Allocation Failure) 2021-01-22T21:40:29.656+0800: 53.973: [DefNew: 1122569K->4029K(1258304K), 0.0030394 secs] 1156931K->38391K(4054528K), 0.0030756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:33.935+0800: 58.252: [GC (Allocation Failure) 2021-01-22T21:40:33.935+0800: 58.252: [DefNew: 1122557K->4041K(1258304K), 0.0030222 secs] 1156919K->38403K(4054528K), 0.0030665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:38.244+0800: 62.561: [GC (Allocation Failure) 2021-01-22T21:40:38.244+0800: 62.561: [DefNew: 1122569K->4025K(1258304K), 0.0029610 secs] 1156931K->38387K(4054528K), 0.0030029 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
